Constituency,Const. No.,Leading Candidate,Trailing Candidate,Margin,Status,State ID
Valmiki Nagar,1,SUNIL KUMAR,DEEPAK YADAV,98675,Result Declared,S04
Hathras,16,ANOOP PRADHAN BALMIKI,JASVEER VALMIKI,247318,Result Declared,S24
Jalaun,45,NARAYAN DAS AHIRWAR,BHANU PRATAP SINGH VERMA,53898,Result Declared,S24
Jaunpur,73,BABU SINGH KUSHWAHA,KRIPASHANKAR SINGH,99335,Result Declared,S24
Jhansi,46,ANURAG SHARMA,"PRADEEP JAIN ""ADITYA""",102614,Result Declared,S24
Kairana,2,IQRA CHOUDHARY,PRADEEP KUMAR,69116,Result Declared,S24
Kaiserganj,57,KARAN BHUSHAN SINGH,BHAGAT RAM,148843,Result Declared,S24
Kannauj,42,AKHILESH YADAV,SUBRAT PATHAK,170922,Result Declared,S24
Kanpur,43,RAMESH AWASTHI,ALOK MISRA,20968,Result Declared,S24
Kaushambi,50,PUSHPENDRA SAROJ,VINOD KUMAR SONKAR,103944,Result Declared,S24
Kheri,28,UTKARSH VERMA 'MADHUR',AJAY KUMAR,34329,Result Declared,S24
Kushi Nagar,65,VIJAY KUMAR DUBAY,AJAY PRATAP SINGH URF PINTU SAITHWAR,81790,Result Declared,S24
Lalganj,68,DAROGA PRASAD SAROJ,NEELAM SONKER,115023,Result Declared,S24
Lucknow,35,RAJ NATH SINGH,RAVIDAS MEHROTRA,135159,Result Declared,S24
Machhlishahr,74,PRIYA SAROJ,BHOLANATH (B.P. SAROJ),35850,Result Declared,S24
Maharajganj,63,PANKAJ CHAUDHARY,VIRENDRA CHAUDHARY,35451,Result Declared,S24
Mainpuri,21,DIMPLE YADAV,JAYVEER SINGH,221639,Result Declared,S24
Mathura,17,HEMAMALINI DHARMENDRA DEOL,MUKESH DHANGAR,293407,Result Declared,S24
Meerut,10,ARUN GOVIL,SUNITA VERMA,10585,Result Declared,S24
Mirzapur,79,ANUPRIYA PATEL,RAMESH CHAND BIND,37810,Result Declared,S24
Misrikh,32,ASHOK KUMAR RAWAT,SANGITA RAJVANSHI,33406,Result Declared,S24
Alipurduars,2,MANOJ TIGGA,PRAKASH CHIK BARAIK,75447,Result Declared,S25
Arambagh,29,BAG MITALI,ARUP KANTI DIGAR,6399,Result Declared,S25
Asansol,40,SHATRUGHAN PRASAD SINHA,SURENDRAJEET SINGH AHLUWALIA,59564,Result Declared,S25
Baharampur,10,PATHAN YUSUF,ADHIR RANJAN CHOWDHURY,85022,Result Declared,S25
Balurghat,6,SUKANTA MAJUMDAR,BIPLAB MITRA,10386,Result Declared,S25
Bangaon,14,SHANTANU THAKUR,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,73693,Result Declared,S25
Bankura,36,ARUP CHAKRABORTY,DR. SUBHAS SARKAR,32778,Result Declared,S25
Barasat,17,KAKOLI GHOSH DASTIDAR,SWAPAN MAJUMDER,114189,Result Declared,S25
Bardhaman Purba,38,DR. SHARMILA SARKAR,ASIM KUMAR SARKAR,160572,Result Declared,S25
Bardhaman-Durgapur,39,AZAD KIRTI JHA,DILIP GHOSH,137981,Result Declared,S25
Barrackpur,15,PARTHA BHOWMICK,ARJUN SINGH,64438,Result Declared,S25
Basirhat,18,SK NURUL ISLAM,REKHA PATRA,333547,Result Declared,S25
Birbhum,42,SATABDI ROY,DEBTANU BHATTACHARYA,197650,Result Declared,S25
Bishnupur,37,KHAN SAUMITRA,SUJATA MONDAL,5567,Result Declared,S25
Bolpur,41,ASIT KUMAR MAL,PIYA SAHA,327253,Result Declared,S25
Coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,NISITH PRAMANIK,39250,Result Declared,S25
Darjeeling,4,RAJU BISTA,GOPAL LAMA,178525,Result Declared,S25
Diamond harbour,21,ABHISHEK BANERJEE,ABHIJIT DAS (BOBBY),710930,Result Declared,S25
Dum dum,16,SOUGATA RAY,SILBHADRA DATTA,70660,Result Declared,S25
Ghatal,32,ADHIKARI DEEPAK (DEV),DR. HIRANMOY CHATTOPADHYAYA,182868,Result Declared,S25
HAMIRPUR,3,ANURAG SINGH THAKUR,SATPAL RAIZADA,182357,Result Declared,S08
KANGRA,1,DR RAJEEV BHARDWAJ,ANAND SHARMA,251895,Result Declared,S08
MANDI,2,KANGNA RANAUT,VIKRAMADITYA SINGH,74755,Result Declared,S08
SHIMLA,4,Suresh Kumar Kashyap,Vinod Sultanpuri,91451,Result Declared,S08
BASTAR,10,MAHESH KASHYAP,KAWASI LAKHMA,55245,Result Declared,S26
BILASPUR,5,TOKHAN SAHU,DEVENDRA YADAV,164558,Result Declared,S26
DURG,7,VIJAY BAGHEL,RAJENDRA SAHU,438226,Result Declared,S26
JANJGIR-CHAMPA,3,KAMLESH JANGDE,DR. SHIVKUMAR DAHARIYA,60000,Result Declared,S26
KANKER,11,BHOJRAJ NAG,BIRESH THAKUR,1884,Result Declared,S26
KORBA,4,JYOTSNA CHARANDAS MAHANT,SAROJ PANDEY,43283,Result Declared,S26
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,TAMRADHWAJ SAHU,145456,Result Declared,S26
RAIGARH,2,RADHESHYAM RATHIYA,DR. MENKA DEVI SINGH,240391,Result Declared,S26
RAIPUR,8,BRIJMOHAN AGRAWAL,VIKAS UPADHYAY,575285,Result Declared,S26
RAJNANDGAON,6,SANTOSH PANDEY,BHUPESH BAGHEL,44411,Result Declared,S26
SURGUJA,1,CHINTAMANI MAHARAJ,SHASHI SINGH KORAM,64822,Result Declared,S26
Tripura East,2,KRITI DEVI DEBBARMAN,RAJENDRA REANG,486819,Result Declared,S23
Tripura West,1,BIPLAB KUMAR DEB,ASISH KUMAR SAHA,611578,Result Declared,S23
Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,MOHAMMED FAIZAL PP,2647,Result Declared,U06
Tamluk,30,ABHIJIT GANGOPADHYAY,DEBANGSHU BHATTACHARYA,77733,Result Declared,S25
Uluberia,26,SAJDA AHMED,ARUNUDAY PAULCHOWDHURY,218673,Result Declared,S25
MIZORAM,1,RICHARD VANLALHMANGAIHA,K VANLALVENA,68288,Result Declared,S16
ARAKKONAM,7,S JAGATHRATCHAKAN,L VIJAYAN,306559,Result Declared,S22
ARANI,12,THARANIVENTHAN M S,"GAJENDRAN, G.V.",208766,Result Declared,S22
